Bug list,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defect ID,Module/Function,Title,Description,QC Activity,Severity,Priority,Status,Created Date,Assigned to,Corrective Action,Note,,,,,,,,,,,,,,,,
[UC05-06],??ng bài tìm ?ng viên,B? tr?ng các field không b?t bu?c,"B? tr?ng các field không b?t bu?c
Expect: 
'- ??ng bài thành công và hi?n th? thông báo “T?o công vi?c thành công”
- H? th?ng chuy?n v? trang ch?, hi?n th? tin lên ??u danh sách là tin m?i nh?t",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Các field không b?t bu?c nh?ng l?i b?t bu?c nh?p
EV: https://drive.google.com/file/d/1YoY9AIFcMT52uaFrtkkwH34edDRbwDtv/view?usp=drive_link",,,,,,,,,,,,,,,,
S?a xóa bài ??ng,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC06-1],S?a xóa bài ??ng,Ki?m tra t?ng quan màn hình Ch?nh s?a thông tin,"Ki?m tra t?ng quan màn hình Ch?nh s?a thông tin
Expect: 
'- Textbox: Màn hình hi?n th? các tr??ng thông tin c?a bài ??ng ?ng v?i tr??ng t?o bài ??ng
- Button: Ch?nh s?a",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Icon/tên field không rõ ràng
EV: https://drive.google.com/file/d/1Gai8tTA6_QT7E0WRX0CC5z4co0V21qHX/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC06-7],S?a xóa bài ??ng,Ki?m tra ch?c n?ng xóa bài ??ng,"Ki?m tra ch?c n?ng xóa bài ??ng
Ex: 'Xóa thành công và hi?n th? thông báo “Tin ?ã ???c xóa thành công”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Sau khi xóa, bài ??ng ko m?t ngay mà ph?i reload l?i trang
EV:https://drive.google.com/file/d/1PNc_J1T9vs7rbCIJVUC5t629eFX_cgui/view?usp=drive_link",,,,,,,,,,,,,,,,
Xem ?ng viên ?ã ?ng tuy?n,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC07-2],Xem ?ng viên ?ã ?ng tuy?n,Ki?m tra ch?c n?ng xem chi ti?t ?ng viên,"Ki?m tra ch?c n?ng xem chi ti?t ?ng viên
Ex: 'H? th?ng chuy?n ??n trang chi ti?t h? s? c?a ?ng viên.",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Không th? click vào button xem h? s? ?ng viên
EV: https://drive.google.com/file/d/1dE5MnOrfdkUWOn0plfCUkZlO94rTgwKc/view?usp=drive_link",,,,,,,,,,,,,,,,
?ng viên ?ng tuy?n,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC08-1],?ng viên ?ng tuy?n,Ki?m tra t?ng quan giao di?n ?ng tuy?n công vi?c,"Ki?m tra t?ng quan giao di?n ?ng tuy?n công vi?c
Ex: H? th?ng thông báo ?ng tuy?n thành công",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"L?i toàn b? màn hình
EV: https://drive.google.com/file/d/1dX5oLTWdXBTF5-arbtQp1kGrLOH8BzKb/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC08-4],?ng viên ?ng tuy?n,Ki?m tra ch?c n?ng ?ng tuy?n,"Ki?m tra ch?c n?ng ?ng tuy?n
Ex: 'H? th?ng thông báo ?ng tuy?n thành công",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"L?i không th? ?ng tuy?n
EV: https://drive.google.com/file/d/1J3k0W3jXEwXriEWAdynV1912B11MN1D4/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC08-6],?ng viên ?ng tuy?n,Ki?m tra ch?c n?ng Chia s?,"Ki?m tra ch?c n?ng Chia s?
Ex: H? th?ng hi?n th? ???ng link liên k?t ra các m?ng xã h?i.",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Không th? click chia s?
EV: https://drive.google.com/file/d/1CgT2pryAtdUkssQeIf3R_7st2y0trrWy/view?usp=drive_link",,,,,,,,,,,,,,,,
Ch?nh s?a h? s? ?ng viên,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC09-4],Ch?nh s?a h? s? ?ng viên,Ki?m tra chi ti?t radio button Ch?nh s?a,"Ki?m tra chi ti?t radio button Ch?nh s?a
Ex: 'Cho phép click vào button",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Hi?n t?i ko th? click ??i radio button
EV: https://drive.google.com/file/d/1noibG1QkQOF2NlkWE2pbSAbLv4XySI-h/view?usp=drive_link",,,,,,,,,,,,,,,,
[UC09-6],Ch?nh s?a h? s? ?ng viên,B? tr?ng các tr??ng b?t bu?c,"B? tr?ng các tr??ng b?t bu?c
Ex: 'Ch?nh s?a không thành công và hi?n th? thông báo “S?a thông tin th?t b?i”",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Không hi?n th? thông báo khi b? tr?ng các tr??ng b?t bu?c
EV: 
https://drive.google.com/file/d/1-EC7YZSaAEKIMzxyNW0mVEZ57SQ7PMWr/view?usp=drive_link",,,,,,,,,,,,,,,,
?ng viên ??ng bài,,,,,,,,,,,,,,,,,,,,,,,,,,,
[UC10-4],?ng viên ??ng bài,B? tr?ng các tr??ng b?t bu?c,"B? tr?ng các tr??ng b?t bu?c
Ex: '??ng bài không thành công và hi?n th? thông báo ““Không th? t?o bài vi?t””",Document Review,Medium,Low,Assigned,20/04/2024,Nguy?n Th? Tú Vi,,"Hi?n t?i không nh?p thông tin v?n có th? t?o bài ??ng
EV: https://drive.google.com/file/d/1bI0s0cBtLp1-o7CuW8Bw0BEQ-HfPtZuz/view?usp=drive_link",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
